Cumulative Benchmark Comparison,Header,Date,BM1,BM1Return,BM2,BM2Return,BM3,BM3Return,Consolidated,ConsolidatedReturn
Cumulative Benchmark Comparison,Data,01/04/21,SPXTR,-1.470226243,EFA,0.520833333,VT,-0.572477857,Consolidated,0.776450451
Cumulative Benchmark Comparison,Data,01/05/21,SPXTR,-0.760501846,EFA,1.5625,VT,0.518470512,Consolidated,2.385084314
Cumulative Benchmark Comparison,Data,01/06/21,SPXTR,-0.192284148,EFA,2.72752193,VT,1.231367466,Consolidated,5.630165596
Cumulative Benchmark Comparison,Data,01/07/21,SPXTR,1.31132118,EFA,2.837171053,VT,2.257507021,Consolidated,4.724913259
Cumulative Benchmark Comparison,Data,01/08/21,SPXTR,1.88069877,EFA,3.796600877,VT,3.186433355,Consolidated,6.688823475
Cumulative Benchmark Comparison,Data,01/11/21,SPXTR,1.212730448,EFA,2.439692982,VT,2.257507021,Consolidated,5.374258511
Cumulative Benchmark Comparison,Data,01/12/21,SPXTR,1.254873153,EFA,2.974232456,VT,2.646359905,Consolidated,5.166574643
Cumulative Benchmark Comparison,Data,01/13/21,SPXTR,1.487237977,EFA,2.768640351,VT,2.732771657,Consolidated,4.902048796
Cumulative Benchmark Comparison,Data,01/14/21,SPXTR,1.118006019,EFA,3.591008772,VT,2.905595161,Consolidated,4.687272909
Cumulative Benchmark Comparison,Data,01/15/21,SPXTR,0.392300901,EFA,1.973684211,VT,1.83624973,Consolidated,4.064689442
Cumulative Benchmark Comparison,Data,01/18/21,SPXTR,0.392300901,EFA,1.973684211,VT,1.83624973,Consolidated,5.198031578
Cumulative Benchmark Comparison,Data,01/19/21,SPXTR,1.212988201,EFA,2.713815789,VT,2.721970188,Consolidated,5.469354173
Cumulative Benchmark Comparison,Data,01/20/21,SPXTR,2.623544498,EFA,3.412828947,VT,3.964139123,Consolidated,5.326247754
Cumulative Benchmark Comparison,Data,01/21/21,SPXTR,2.664656189,EFA,3.495065789,VT,3.99654353,Consolidated,5.325987414
